timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
104,78.6825,77.644,-0.0,-0.0,13.9731,50.3031,13.9731,-0.0,0.87166,0.0,0.3057,66.973,1,0,0,0,1.45321,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
105,80.4505,79.043,-0.0,-0.0,14.059,50.6124,14.059,-0.0,0.85926,0.0,0.30134,68.372,1,0,0,0,1.4623,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
106,82.2662,80.4506,-0.0,-0.0,14.1437,50.9174,14.1437,-0.0,0.84705,0.0,0.29705,69.78,1,0,0,0,1.47124,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
107,83.0891,81.8666,-0.0,-0.0,14.2272,51.218,14.2272,-0.0,0.83504,0.0,0.29281,71.196,1,0,0,0,1.48005,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
108,83.8493,83.291,-0.0,-0.0,14.3095,51.5143,14.3095,-0.0,0.82302,0.0,0.28864,72.62,1,0,0,0,1.48876,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
109,85.5249,84.7235,-0.0,-0.0,14.3907,51.8064,14.3907,-0.0,0.81139,0.0,0.28452,74.053,1,0,0,0,1.49733,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
110,87.2649,86.1642,-0.0,-0.0,14.4706,52.0943,14.4706,-0.0,0.79975,0.0,0.28047,75.494,1,0,0,0,1.50578,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
111,88.0389,87.6128,-0.0,-0.0,14.5495,52.3781,14.5495,-0.0,0.78831,0.0,0.27647,76.942,1,0,0,0,1.51411,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
112,89.2027,89.0693,-0.0,-0.0,14.6272,52.6578,14.6272,-0.0,0.77705,0.0,0.27253,78.399,1,0,0,0,1.52232,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
113,90.0248,90.5336,-0.0,-0.0,14.7038,52.9336,14.7038,-0.0,0.76599,0.0,0.26864,79.863,1,0,0,0,1.53042,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
114,91.501,92.0055,-0.0,0.0,14.7793,53.2054,14.7793,0.0,0.75512,0.0,0.26481,81.335,1,0,0,0,1.53839,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
115,92.7714,93.4849,-0.0,0.0,14.8537,53.4734,14.8537,0.0,0.74444,0.0,0.26104,82.814,1,0,0,0,1.54625,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
116,93.5155,94.9717,-0.0,0.0,14.9271,53.7376,14.9271,0.0,0.73376,-0.0,0.25731,84.301,1,0,0,0,1.55401,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
117,94.3687,96.4659,-0.0,-0.0,14.9994,53.998,14.9994,0.0,0.72327,0.0,0.25364,85.795,1,0,0,0,1.56165,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
118,95.9354,97.9672,-0.0,0.0,15.0707,54.2546,15.0707,0.0,0.71297,0.0,0.25003,87.297,1,0,0,0,1.56918,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
119,97.3171,99.4757,-0.0,0.0,15.141,54.5077,15.141,-0.0,0.70286,0.0,0.24646,88.805,1,0,0,0,1.57662,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
120,98.4183,100.9912,-0.0,-0.0,15.2103,54.757,15.2103,-0.0,0.69275,0.0,0.24295,90.321,1,0,0,0,1.58393,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
121,99.2087,102.5136,-0.0,-0.0,15.2786,55.0029,15.2786,-0.0,0.68283,0.0,0.23949,91.843,1,0,0,0,1.59115,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
