timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
435,74.3649,416.0789,0.0,-0.0,14.5812,52.4922,14.5812,-0.0,-1.03779,1e-05,-0.05,406.76,11,0,0,0,1.53205,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
436,74.582,417.535,0.0,-0.0,14.4774,52.1186,14.4774,-0.0,-1.03779,0.0,-0.05,408.216,11,0,0,0,1.52117,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
437,74.7526,418.9807,0.0,-0.0,14.3736,51.745,14.3736,-0.0,-1.03779,0.0,-0.05,409.661,11,0,0,0,1.51036,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
438,74.8616,420.4159,0.0,-0.0,14.2698,51.3714,14.2698,-0.0,-1.03779,-0.0,-0.05,411.097,11,0,0,0,1.49949,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
439,75.0473,421.8408,0.0,-0.0,14.166,50.9978,14.166,-0.0,-1.03779,-0.0,-0.05,412.522,11,0,0,0,1.48864,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
440,75.1556,423.2553,0.0,-0.0,14.0623,50.6242,14.0623,-0.0,-1.03779,-0.0,-0.05,413.936,11,0,0,0,1.4778,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
441,75.3261,424.6595,0.0,-0.0,13.9585,50.2506,13.9585,-0.0,-1.03779,-0.0,-0.05,415.34,11,0,0,0,1.46696,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
442,75.5428,426.0533,0.0,-0.0,13.8547,49.877,13.8547,-0.0,-1.03779,-0.0,-0.05,416.734,11,0,0,0,1.45611,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
443,75.7136,427.4366,0.0,-0.0,13.7509,49.5034,13.7509,-0.0,-1.03779,-0.0,-0.05,418.117,11,0,0,0,1.44527,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
444,75.8216,428.8097,0.0,-0.0,13.6472,49.1298,13.6472,-0.0,-1.03779,-0.0,-0.05,419.49,11,0,0,0,1.43443,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
445,75.9924,430.1723,0.0,-0.0,13.5434,48.7561,13.5434,-0.0,-1.03779,0.0,-0.05,420.853,11,0,0,0,1.42359,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
446,76.1008,431.5246,0.0,-0.0,13.4396,48.3825,13.4396,-0.0,-1.03779,0.0,-0.05,422.205,11,0,0,0,1.41274,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
447,76.2736,432.8665,0.0,-0.0,13.3358,48.0089,13.3358,-0.0,-1.03779,0.0,-0.05,423.547,11,0,0,0,1.4019,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
448,76.4736,434.1761,0.009,0.259,12.3961,44.6261,12.39,0.3889,-9.3968,1.0,-0.81132,424.857,11,0,0,0,1.36541,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
449,76.6596,435.3969,0.0569,1.433,11.4976,41.3912,11.4659,0.853,-8.98567,1.0,-0.73301,426.079,11,0,0,0,1.27259,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
450,76.7528,436.5243,0.1525,3.521,10.5912,38.1283,10.5032,1.3623,-9.06379,1.0,-0.65813,427.21,11,0,0,0,1.17501,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
451,76.9236,437.556,0.2986,6.359,9.7536,35.113,9.5776,1.8446,-8.37586,1.0,-0.5826,428.252,12,0,0,0,1.07563,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
452,77.0174,438.4958,0.4924,9.646,8.9677,32.2836,8.668,2.299,-7.85938,1.0,-0.5128,429.212,12,1,0,0,0.98017,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
453,77.1881,439.3448,0.7311,13.2,8.2207,29.5947,7.7581,2.7189,-7.46917,1.0,-0.44731,430.094,12,1,0,0,0.8859,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
454,77.514,440.1212,0.9922,16.293,7.9917,28.7702,7.6294,2.379,-2.29022,-0.40347,-0.05,430.913,12,1,0,0,0.81245,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
455,77.6999,440.8813,1.2223,17.009,7.7539,27.9139,7.5022,1.9594,-2.37876,-0.49952,-0.05,431.707,12,1,0,0,0.79499,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
456,77.8092,441.6292,1.408,15.877,7.5239,27.0859,7.3867,1.4303,-2.29981,-0.54218,-0.05,432.478,12,1,0,0,0.78172,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
457,77.995,442.3655,1.5392,13.382,7.3113,26.3206,7.2645,0.8255,-2.12585,-0.54503,-0.05,433.225,12,1,0,0,0.7692,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
458,78.1035,443.0893,1.6086,9.829,7.1214,25.6369,7.1196,0.1575,-1.89928,-0.51685,-0.05,433.953,12,1,0,0,0.7558,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
459,78.2902,443.7978,1.6106,5.457,6.9597,25.0548,6.9411,-0.5079,-1.61683,-0.46077,-0.05,434.661,12,1,0,0,0.73985,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
460,78.6159,444.4897,1.5539,0.857,6.8596,24.6946,6.798,-0.9173,-1.00065,-0.37754,-0.05,435.355,12,1,0,0,0.72279,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
461,78.8019,445.1681,1.4614,-3.129,6.7782,24.4016,6.6853,-1.1185,-0.81382,-0.27697,-0.05,436.04,12,1,0,0,0.70888,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
462,78.9104,445.8354,1.3513,-6.129,6.6916,24.0897,6.585,-1.1895,-0.86645,-0.17933,-0.05,436.716,12,1,0,0,0.69738,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
463,79.0967,446.4925,1.235,-8.116,6.596,23.7456,6.4886,-1.1855,-0.95584,-0.09719,-0.05,437.384,12,1,0,0,0.68679,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
464,79.2052,447.1398,1.1194,-9.231,6.4942,23.3792,6.3938,-1.1379,-1.01772,-0.03469,-0.05,438.041,12,1,0,0,0.67656,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
465,79.3907,447.7775,1.0084,-9.678,6.3895,23.0021,6.3005,-1.0623,-1.04761,0.00925,-0.05,438.688,12,1,0,0,0.66648,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
466,79.7781,448.4059,0.9049,-9.655,6.2838,22.6218,6.2082,-0.9719,-1.05623,0.03801,-0.05,439.325,12,1,0,0,0.6566,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
467,79.9638,449.0249,0.8101,-9.327,6.1784,22.2422,6.1157,-0.8776,-1.05458,0.05531,-0.05,439.951,12,1,0,0,0.64685,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
468,80.0724,449.6346,0.7244,-8.818,6.0734,21.8643,6.0223,-0.7864,-1.04979,0.06448,-0.05,440.567,12,1,0,0,0.63707,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
469,80.2591,450.235,0.6476,-8.216,5.9689,21.488,5.9275,-0.7013,-1.04514,0.06814,-0.05,441.172,12,1,0,0,0.6272,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
470,80.3677,450.8258,0.5791,-7.581,5.8647,21.113,5.8315,-0.6232,-1.04167,0.06826,-0.05,441.767,12,1,0,0,0.61724,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
