timestep,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
573,Brake,fallback,1,32.77,heuristic default,1.0,1.0,1.0
574,Brake,fallback,1,33.04,heuristic default,1.0,1.0,1.0
575,Brake,fallback,1,33.32,heuristic default,1.0,1.0,1.0
576,Brake,fallback,1,33.61,heuristic default,1.0,1.0,1.0
577,Brake,fallback,1,33.91,heuristic default,1.0,1.0,1.0
578,Brake,fallback,1,34.23,heuristic default,1.0,1.0,1.0
579,Brake,fallback,1,34.55,heuristic default,1.0,1.0,1.0
580,Brake,fallback,1,34.88,heuristic default,1.0,1.0,1.0
581,Brake,fallback,1,35.21,heuristic default,1.0,1.0,1.0
582,Brake,fallback,1,35.54,heuristic default,1.0,1.0,1.0
583,Brake,fallback,1,35.88,heuristic default,1.0,1.0,1.0
584,Brake,fallback,1,36.21,heuristic default,1.0,1.0,1.0
585,Brake,fallback,1,36.54,heuristic default,1.0,1.0,1.0
586,Brake,fallback,1,36.88,heuristic default,1.0,1.0,1.0
587,Brake,fallback,1,37.21,heuristic default,1.0,1.0,1.0
588,Brake,fallback,1,37.55,heuristic default,1.0,1.0,1.0
589,Brake,fallback,1,37.88,heuristic default,1.0,1.0,1.0
590,Brake,fallback,1,38.22,heuristic default,1.0,1.0,1.0
591,Brake,fallback,1,38.55,heuristic default,1.0,1.0,1.0
592,Brake,fallback,1,38.89,heuristic default,1.0,1.0,1.0
593,Brake,fallback,1,39.22,heuristic default,1.0,1.0,1.0
594,Brake,fallback,1,39.56,heuristic default,1.0,1.0,1.0
595,Brake,fallback,1,39.87,heuristic default,1.0,1.0,1.0
596,Brake,fallback,1,40.13,heuristic default,1.0,1.0,1.0
597,Brake,fallback,1,40.4,heuristic default,1.0,1.0,1.0
598,Brake,fallback,1,40.67,heuristic default,1.0,1.0,1.0
599,Brake,fallback,1,40.95,heuristic default,1.0,1.0,1.0
600,Brake,fallback,1,41.24,heuristic default,1.0,1.0,1.0
601,Brake,fallback,1,41.53,heuristic default,1.0,1.0,1.0
602,Brake,fallback,1,41.83,heuristic default,1.0,1.0,1.0
603,Brake,fallback,1,42.14,heuristic default,1.0,1.0,1.0
604,Brake,fallback,1,42.45,heuristic default,1.0,1.0,1.0
605,Brake,fallback,1,42.77,heuristic default,1.0,1.0,1.0
