timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
264,216.2024,275.7378,-0.0003,0.002,15.4977,55.7917,15.4977,0.0004,0.65117,-1e-05,0.22836,265.615,6,0,0,0,1.61426,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
265,217.5554,277.2888,-0.0003,0.002,15.5619,56.0227,15.5619,0.0004,0.64182,-1e-05,0.22511,267.166,6,0,0,0,1.62108,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
266,218.2352,278.8463,-0.0002,0.001,15.6251,56.2505,15.6251,0.0003,0.63267,-1e-05,0.2219,268.723,6,0,0,0,1.62778,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
267,219.7073,280.4101,-0.0002,0.001,15.6875,56.475,15.6875,0.0003,0.6237,-1e-05,0.21874,270.287,6,0,0,0,1.63434,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
268,221.7066,281.98,-0.0002,0.001,15.749,56.6964,15.749,0.0002,0.61493,-1e-05,0.21562,271.857,6,0,0,0,1.64085,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
269,223.5598,283.5561,-0.0002,0.001,15.8096,56.9146,15.8096,0.0002,0.60616,-0.0,0.21255,273.433,6,0,0,0,1.64722,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
270,225.5864,285.1383,-0.0001,0.001,15.8693,57.1297,15.8693,0.0002,0.59738,-0.0,0.20952,275.015,6,0,0,0,1.65357,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
271,226.2649,286.7264,-0.0001,0.001,15.9282,57.3417,15.9282,0.0002,0.58899,-0.0,0.20653,276.603,6,0,0,0,1.65978,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
272,227.7435,288.3204,-0.0001,0.001,15.9863,57.5507,15.9863,0.0001,0.5806,-0.0,0.20359,278.197,6,0,0,0,1.66593,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
273,229.011,289.9201,-0.0001,0.0,16.0435,57.7567,16.0435,0.0001,0.57221,-0.0,0.20068,279.797,6,0,0,0,1.67196,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
274,229.8551,291.5256,-0.0001,0.0,16.0999,57.9598,16.0999,0.0001,0.56419,-0.0,0.19782,281.403,6,0,0,0,1.67792,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
275,231.1016,293.1367,-0.0001,0.0,16.1556,58.16,16.1556,0.0001,0.55618,-0.0,0.195,283.014,6,0,0,0,1.68381,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
276,231.9626,294.7534,-0.0001,0.0,16.2104,58.3574,16.2104,0.0001,0.54817,-0.0,0.19222,284.63,6,0,0,0,1.68958,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
277,233.4662,296.3755,-0.0,0.0,16.2644,58.5518,16.2644,0.0001,0.54016,-0.0,0.18948,286.252,6,0,0,0,1.69532,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
278,234.8362,298.003,-0.0,0.0,16.3177,58.7435,16.3177,0.0001,0.53253,-0.0,0.18678,287.88,7,0,0,0,1.70093,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
279,236.246,299.6358,-0.0,0.0,16.3701,58.9325,16.3701,0.0001,0.5249,-0.0,0.18412,289.513,7,0,0,0,1.70651,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
280,237.107,301.2701,-0.0,0.0,16.2663,58.5588,16.2663,0.0001,-1.03798,-0.0,-0.05,291.147,7,0,0,0,1.70751,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
281,238.6967,302.8947,-0.0,0.0,16.1625,58.1852,16.1625,0.0,-1.03798,-0.0,-0.05,292.772,7,0,0,0,1.69727,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
282,240.5579,304.5089,-0.0,0.0,16.0587,57.8115,16.0587,0.0,-1.03798,-0.0,-0.05,294.386,7,0,0,0,1.68643,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
283,241.5075,306.1126,-0.0,0.0,15.955,57.4379,15.955,0.0,-1.03789,-0.0,-0.05,295.99,7,0,0,0,1.67559,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
284,243.0105,307.7061,-0.0,0.0,15.8512,57.0642,15.8512,0.0,-1.03779,-0.0,-0.05,297.583,7,0,0,0,1.66474,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
285,245.742,309.2891,-0.0,0.0,15.7474,56.6906,15.7474,0.0,-1.03779,-0.0,-0.05,299.166,7,0,0,0,1.6539,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
286,247.3817,310.8618,-0.0,0.0,15.6436,56.317,15.6436,0.0,-1.03779,0.0,-0.05,300.739,7,0,0,0,1.64306,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
287,248.9095,312.424,-0.0,0.0,15.5398,55.9434,15.5398,0.0,-1.03779,0.0,-0.05,302.301,7,0,0,0,1.63222,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
288,250.115,313.976,-0.0,0.0,15.4361,55.5698,15.4361,0.0,-1.03779,0.0,-0.05,303.853,7,0,0,0,1.62137,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
289,252.087,315.5175,-0.0,0.0,15.3323,55.1962,15.3323,0.0,-1.03779,0.0,-0.05,305.394,7,0,0,0,1.61053,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,,,,,
290,253.7499,317.0486,-0.0,0.0,15.2285,54.8226,15.2285,0.0,-1.03779,-0.0,-0.05,306.926,8,0,0,0,1.59969,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
291,255.4351,318.5694,-0.0,0.0,15.1247,54.449,15.1247,0.0,-1.03779,-0.0,-0.05,308.446,8,0,0,0,1.58884,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
292,256.9119,320.0798,-0.0,0.0,15.0209,54.0754,15.0209,0.0,-1.03779,-0.0,-0.05,309.957,8,0,0,0,1.578,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
293,258.278,321.5799,0.0,0.0,14.9172,53.7018,14.9172,0.0,-1.03779,-0.0,-0.05,311.457,8,0,0,0,1.56716,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
