timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
267,41.0354,268.032,-0.0002,0.001,15.4703,55.6931,15.4703,0.0003,0.65517,-1e-05,0.22976,258.125,8,0,0,0,1.61139,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
268,41.1435,269.5804,-0.0002,0.001,15.5349,55.9256,15.5349,0.0002,0.64583,-1e-05,0.22648,259.673,8,0,0,0,1.61825,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
269,41.3139,271.1351,-0.0001,0.001,15.5986,56.1548,15.5986,0.0002,0.63667,-0.0,0.22325,261.228,8,0,0,0,1.62494,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
270,41.4062,272.6962,-0.0001,0.001,15.6613,56.3807,15.6613,0.0002,0.62752,-0.0,0.22007,262.789,8,0,0,0,1.63157,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
271,41.5766,274.2636,-0.0001,0.001,15.7232,56.6034,15.7232,0.0001,0.61855,-0.0,0.21693,264.356,8,0,0,0,1.63814,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
272,41.6695,275.8371,-0.0001,0.001,15.7842,56.8229,15.7842,0.0001,0.60978,-0.0,0.21384,265.93,8,0,0,0,1.64452,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
273,41.856,277.4167,-0.0001,0.0,15.8443,57.0393,15.8443,0.0001,0.60101,-0.0,0.21079,267.509,8,0,0,0,1.65089,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
274,41.9648,279.0023,-0.0001,0.0,15.9035,57.2526,15.9035,0.0001,0.59242,-0.0,0.20779,269.095,8,0,0,0,1.65717,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
275,42.1353,280.5938,-0.0001,0.0,15.9619,57.4628,15.9619,0.0001,0.58403,-0.0,0.20482,270.687,8,0,0,0,1.66335,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
276,42.2284,282.1911,-0.0001,0.0,16.0195,57.6701,16.0195,0.0001,0.57565,-0.0,0.2019,272.284,8,0,0,0,1.66941,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
277,42.3991,283.7942,-0.0,0.0,16.0762,57.8744,16.0762,0.0001,0.56763,-0.0,0.19903,273.887,8,0,0,0,1.67543,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
278,42.492,285.4029,-0.0,0.0,16.1322,58.0759,16.1322,0.0001,0.55962,-0.0,0.19619,275.496,8,0,0,0,1.68133,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
